id,K,Short description,Type 1,Type 2,Material,height,width,length,depth,diameter,remarks,Condition,Datation,Remarks on datation,Date of discovery (DD/MM/YYYY),Conservation
291,K 58,"Block statue of Pȝ-dj-Ḥr-pȝ-Rʿ, son of Kȝp.f-ḥȝ-Mnṯw (called Pȝ-wrm) and Ns-Ḫnsw. (ex-Cairo JE 36666, ex-Coll. Omar Pacha n° 399)",Statue,Block statue,"""Black"" Granite",36,,,,,JE: 30,, Ptolemaic Period,,20/2/1904,
292,K 183,"Block statue of ʿnḫ-pȝ-ẖrd, son of Wsjr-wr and Tȝ-šrjt-Ḫnsw. Cairo T.R. 4/1/21/3 (err. JE 38009)",Statue,Block statue," ""Grey"" granite",55,21,,33.6,,"Hauteur: 55 corrigé au JE sur 41,5
Jansen-Winkeln:2001 Largeur et Profondeur du socle",Complete, Ptolemaic Period Ptolemies Ptolemy III,,10/4/1904,
293,K 230,Block statue of Pȝ-dj-Jmn-nb-nswt-tȝwy son of ...?. London. British Museum EA 48034,Statue,Block statue," ""Grey"" granite",32.3,13.5,,16.7,,,Complete, Ptolemaic Period,,,
294,K 368bis,Block statue of Bn-jw-thj-Ḥr. Cairo JE 37455,Statue,Block statue,Limestone,15,,,,,,Broken (feet missing), T.I.P.-Late Period trans. 25th-26th dyn.,,,
295,K 520,"Block statue of Nḫt-Mnṯw, son of ʿnḫ.f-n-Ḫnsw et de Ȝst-rš.tj. Cairo JE 37973",Statue,Block statue,Limestone,68,28,,25.5,,JE: Ø,, Ptolemaic Period,,22/12/1904 (H.C.),
296,K 322,Block statue of Ḥr. Cairo JE 37345,Statue,Block statue,Limestone,54,,,,,,, Late Period,,,
297,,"Block statue of Hr.s-n.f, son of Ns-Mnw and Tȝ-mjt. Cairo T.R. 18/12/24/2",Statue,Naophorous block statue (lion-headed goddess),Limestone,29.7,15,,,,,, Ptolemaic Period Ptolemies,,,
298,K 317,"Block statue of Pȝ-jw-n-Ḥr, son of Ḥr and Sṯȝ-jrt-bjnt. Philadelphia, Rosenbach Museum and Library 1954.1969 (70.604)",Statue,Block statue,Basalt,41.4,12.9,,20.6,,,Almost complete, Ptolemaic Period Ptolemies,,,
299,K 326,"Block statue of Ns-pȝ-mdw son of Pȝ-jw-n-Ḥr and Tȝ-nt-Ḥwt. New York, MMA 07.228.28",Statue,Block statue,Basalt,31,14.5,,21.5,,,Complete, Ptolemaic Period Ptolemies,,,
300,,"Block statue of Ns-Ḫmnyw, son of Kȝp.f-ḥȝ-(?). New York, MMA 07.228.26",Statue,Block statue,Diorite,30.7,14.1,,18.5,,MMA 07.228.26 Block Statue of Nespamedu.doc,Complete, Ptolemaic Period,,,
301,,Block statue of a man (anepigraphic ?). Location unknown,Statue,Block statue,Limestone,,,,,,,, Date unknown,,1904,
302,,"Block statue of Hr.s-n.f, son of ʿnḫ-Ḥp, with figure of Amun. Karakol 185 (= “Karnak Generator 13”)",Statue,Block statue with figure of deity (Amun),Unidentified stone,,,,,,,, Late Period-Ptolemaic Period,,,
303,K 55,"Block statue of Pȝ-ḫȝr-Ḫnsw, called Pȝ-Mnṯw, son of Wsjr-wr. Baltimore, WAG/WAM 170 (22.210) (ex-Cairo JE 36667)",Statue,Block statue,"""Black"" Granite",33.6,,,,,JE: 35,Almost complete, Ptolemaic Period Ptolemies Ptolemy II,,20/2/1904,
304,K 502,"Block statue of Pȝ-dj-Jmn-nb-nswt-tȝwy, son of Ns-mnw and Nḥm-s(y)-Rʿt-tȝwy. Cairo JE 37514",Statue,Block statue," ""Grey"" granite",87,37,,51,,"Hauteur JE: 85
Profondeur et Largeur sont celles du socle.",, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,,
305,,Block statue (anepigraphic). Cairo JE 37156,Statue,Block statue,"""Black"" Granite",33,,,,,,, New Kingdom,,7/1904 (avant),
306,,Block statue of Jmn-m-jpt. Cairo JE 36952,Statue,Block statue,"""Black"" Granite",46,,,,,,, Date unknown,,,
307,,"Block statue of Pȝ-jw-n-Ḥr, son of [...]-ʿnḫ, with figure of Osiris. Cairo JE 36960",Statue,Block statue with figure of deity (Osiris),"""Black"" Granite",42.2,,,,,,, Late Period,,,
308,,Block statue (anonymous). Cairo JE 37016,Statue,Block statue,Limestone,15,,,,,,, Date unknown,,,
309,K 313,"Block statue of Ḥr, son of Nb-nṯrw. Cairo JE 37025",Statue,Block statue,Limestone,16.5,11,,12.5,,,Broken (head missing), T.I.P. 25th dyn.,,8/5/1904,
310,,Block statue of Ḥr. Cairo JE 37144,Statue,Block statue,"""Pink"" granite",36.5,,,,,,, Date unknown,,,
311,,"Block statue of Mnw-ms, with figures of Amun, Mut, Khons. Cairo JE 37367",Statue,"Block statue with figure of deity (Amun, Mut, Khons)",Limestone,42,27,,39,,JE: 41,, New Kingdom 19th dyn. Ramesses II,,,
312,,Block statue of Nwb-m-jrt. Cairo JE 37440,Statue,Block statue,Limestone,9,,,,,,, New Kingdom,,,
313,,"Block statue of Pȝ-dj-Jmn-nb-nswt-tȝwy, son of Wnn-nfr and Ns-Ḥr-pȝ-ẖrd. ex-Cairo JE 37982 (ex-Kelekian B)",Statue,Block statue,Hard crystalline limestone,40,19,17,,,,, Ptolemaic Period,,,
314,K 470,Block statue of Ḥr-sȝ-Ȝst. Brooklyn Museum 51.15 (ex-Cairo JE 37166),Statue,Block statue,Basalt,30.8,13.7,,20.5,,Largeur et Profondeur de la base (Brooklyn:1956),Complete, T.I.P. 25th dyn.,,9/6/1904,
315,,"Block statue of Ns-Ḏḥwty son of Pȝ-dj-Wsjr and Tȝ-dj-Nfr-ḥtp, with figure of Lunar god. Brooklyn Museum 69.115.1",Statue,Block statue with figure of deity (Lunar god),Diorite,39,,,,,,Complete, Ptolemaic Period,,,
316,,"Block statue of Ṯȝw-nfr, son of Ns-pȝ-mdw and Ḫnsw-jr-dj-s(w). New York, Pierpont Morgan Library, no. 10",Statue,Block statue," ""Grey"" granite",45.5,17.5,,21.2,,"Bothmer:1960 : largeur et profondeur de la base; pour cette dernière profondeur gauche; à droite: 20,6.",Complete, Late Period 30th dyn.,,,
317,,"Block statue of Ns-pȝ-sfj, son of Bs-n-Mwt. Cairo T.R. 18/12/28/4",Statue,Block statue," ""Grey"" granite",20,,,,,,, T.I.P.-Late Period,,,
318,,"Block statue of Ḥr, son of Nsr-Jmn and Ḏd-Mwt-jw.s-ʿnḫ. Berlin, Ägyptisches Museum 17272",Statue,Block statue," ""Grey"" granite",31,16,,21,,"Seipel:1992 H. 31
———
Brandl:2008
H. relief av.		11.9
l. relief av.		11.8
H. relief dr.		11.9
H. relief g.		12",Complete, T.I.P. 22nd-23rd dyn. Osorkon III,,,
319,,Block statue of Pȝ-dj-Jmn-nb-nswt-tȝwy. London. British Museum EA 48035,Statue,Block statue,Granite,,,,,,,Complete, Late Period-Ptolemaic Period,,,
320,,"Block statue of Sr-Ḏḥwty, son of Pȝ-dj-Nfr-ḥtp and Mwt-Mnw. Los Angeles County Museum 48.24.8 = A 5141.48.372",Statue,Block statue,Granite,66,,,,,,Broken (head missing), Ptolemaic Period,,,
321,,"Block statue of ʿnḫ-pȝ-ẖrd, son of Pȝ-dj-Jmn-nb-nswt-tȝwy and Ns-Ḥr-pȝ-Rʿ. Baltimore, WAG/WAM 160 (22.420)",Statue,Block statue,"""Black"" Granite",21.5,,,,,Steindorff:1946,Complete, Ptolemaic Period,,,
322,,"Block statue of  Ššnq, son of Ḥr-sȝ-Ȝst and Tȝ-šrjt-Jht. Baltimore, WAG/WAM 159 (22.80)",Statue,Block statue,"""Black"" Granite",35.5,,,,,,Almost complete, Ptolemaic Period,,,
323,,"Block statue of Ššnq, son of Pȝ-ḫȝr-Ḫnsw and Ttj (?). Baltimore, WAG/WAM 164 (22.167)",Statue,Block statue,Siltstone,30.7,10,15.8,,,"Hauteur Steindorff:1946: 30,5",Almost complete, Ptolemaic Period,,,
324,,"Block statue of Jw-jt.f, called Ṯkrd, son of Ḏḥwty-jr-dj-s(w) and Tȝ-ryw. New York, MMA 66.99.63",Statue,Block statue,Limestone,,,,,,,Almost complete, Ptolemaic Period,,,
325,,"Block statue of Wsjr-wr, son of Jry-jry and Ns-Tfnt. Amsterdam, APM 8844 (ex. Coll. van Leer 52)",Statue,Block statue,Granite,26,10,,12,,,Complete, Ptolemaic Period Ptolemies,,,
