id,K,Short description,Type 1,Type 2,Material,height,width,length,depth,diameter,remarks,Condition,Datation,Remarks on datation,Date of discovery (DD/MM/YYYY),Conservation
58,K 182,"Block statue of Ḥrj, son of Nsr-jmn and Tȝ-bȝkt-n-Mwt. Cairo CG 42219",Statue,Block statue,Hard crystalline limestone,46,,,,,"JE: 48
Brandl:2008 = CG",Almost complete, T.I.P. 22nd-23rd dyn.,,10/4/1904,
59,K 184,Block statue of Pȝ-dj.f. Cairo JE 37022 (= CG 42277*),Statue,Block statue,Limestone,18,,,,,,, T.I.P.-Late Period trans. 25th-26th dyn.,,10/4/1904,
60,K 185,"Block statue of Ḫȝ-m-Ḥr (“C”), son of Rʿ-m-mȝʿ-ḫrw and Kwkw. Cairo CG 42250",Statue,Block statue," ""Grey"" granite",35,,,,,,Complete, T.I.P.-Late Period trans. 25th-26th dyn.,,10/4/1904,
61,K 186,"Block statue of Ns-pȝ-qȝ-šwty, son of Ns-Šw-Tfnwt. Cairo JE 36964",Statue,Block statue,"""Black"" Granite",32,,,,,,, Late Period 26th dyn.,,,
62,K 188,"Block statue of Pȝ-dj-Ḥr-pȝ-Rʿ, son of Kȝp.f-ḥȝ-Mnṯw. Cairo JE 37021",Statue,Block statue,Limestone,14,,,,,,, Ptolemaic Period,,11/4/1904,
63,K 189,"Block statue of Wsr-Ḫnsw, son of Ḥr-sȝ-Ȝst and Ns-Tfnwt. Cairo JE 37431",Statue,Block statue,Hard crystalline limestone,24.5,,,,,,, Late Period-Ptolemaic Period,,,
64,K 192,"Block statue of Ns-pȝ-sfj, called Snw-šrj, son of Pȝ-Ḫȝrw. Cairo JE 36971 (= CG 42258*)",Statue,Block statue,Limestone,39,22,,29.5,,"EMD: 40
———
Jansen-Winkeln:2001
Hauteur: 38 /Socle profondeur: 29,8 / largeur: 18,5/ hauteur 4,9 (+ x)",, T.I.P. 22nd-23rd dyn.,,14/4/1904,
65,K 194,"Block statue of Bn-jw-thj-Ḥr, son of Pȝ-dj-Jmn-nb-nswt-tȝwy and Jrty-r.w. Cairo JE 36983",Statue,Block statue,Basalt,37.5,16.3,,23.3,,"Jansen-Winkeln:2001, Largeur et Profondeur du socle
Hauteur JE: 38",Complete, Late Period-Ptolemaic Period,,14/4/1904,
66,K 195,"Block statue of Jry-jry, son of Ḥr and Tȝ-šrjt-Mnw. Cairo JE 36977",Statue,Block statue,"""Black"" Granite",38.2,15,,22,,,Complete, Late Period-Ptolemaic Period,,14/4/1904,
67,K 196,"Block statue of Kȝp.f-ḥȝ-Mnṯw, son of Jmn-m-jpt and of Tȝ-šrjt-Mnw. Cairo T.R. 9/6/24/3",Statue,Block statue,"""Black"" Granite",46.4,18.5,,24,,Jansen-Winkeln:2001 Profondeur et largeur du socle,Complete, Late Period-Ptolemaic Period,,14/4/1904,
68,K 198,"Block statue of Ḏd-Ḫnsw-jw.f-ʿnḫ, son of Ḥr-sȝ-Ȝst. Cairo JE 36992",Statue,Block statue,"""Black"" Granite",19,,,,,,, T.I.P.-Late Period trans. 25th-26th dyn.,,,
69,K 202,Block statue of Ḥr son of Nsr-Jmn and of Ḏd-Mwt-jw.s-ʿnḫ. Cairo CG 42223,Statue,Block statue,Calcite,45,,,,,Brandl:2008 = CG,Complete, T.I.P. 22nd-23rd dyn. Osorkon III,,15/4/1904,
70,K 206,"Block statue of Ḏd-Ḫnsw-jw.f-ʿnḫ, son of Pȝ-mj. Cairo CG 42217",Statue,Block statue," ""Grey"" granite",42.2,19.7,,30.5,,"JE 36955 : 42
JE 36992bis : 43
CG 42217 (= JE 36955) : 43",Complete, T.I.P.-Late Period trans. 25th-26th dyn.,,16/4/1904,
71,K 209,"Block statue of Ns-bȝ-nb-Ḏd, son of Pȝ-ḫȝr-Ḫnsw. Cairo JE 36978",Statue,Block statue,"""Black"" Granite",40,,,,,,, Late Period,,16/4/1904,
72,K 210,"Block statue of Pȝ-n-ww-Pqr, son of Jʿḥ-wbn. Cairo JE 36938 (= CG 42271*)",Statue,Block statue,Greywacke,32.5,16,,24,,"Brandl:2008 = Goyon, Cardin:2004
sauf:
Pr.	23.5",Almost complete, T.I.P. 22nd-23rd dyn.,,17/4/1904,
73,K 211,"Block statue of ʿnḫ-pȝ-ẖrd, son of Pȝ-dj-nfr-ḥtp. Cairo JE 37023",Statue,Block statue,Limestone,21,,,,,,, Late Period,,18/4/1904,
